id,question,a,b,c,d,correct,difficulty,category,tags
11,"Container With Most Water
You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]). Find two lines that together with the x-axis form a container, such that the container contains the most water. Return the maximum amount of water a container can store. Notice that you may not slant the container. ",Sort the height array and calculate the area using the two tallest lines.,"Calculate the area for every possible pair of lines, keeping track of the maximum.",Start with the widest container and greedily shrink it by removing the taller of the two lines.,Use binary search to find the optimal width and then search for the corresponding heights.,"Use two pointers, one at each end of the array, and move the pointer with the smaller height towards the center.",Medium,algorithms,"Array,Two Pointers,Greedy"
12,"Integer to Roman
Seven different symbols represent Roman numerals with the following values: Roman numerals are formed by appending the conversions of decimal place values from highest to lowest. Converting a decimal place value into a Roman numeral has the following rules: Given an integer, convert it to a Roman numeral. ","Using a greedy algorithm, repeatedly subtract the largest possible Roman numeral value until the integer reaches zero.",Decompose the integer into its prime factors and map the primes to Roman numerals.,Recursively divide the integer by 10 and construct the Roman numeral from right to left.,"Convert the integer to binary, then map the binary digits to Roman numerals.","Decompose the integer into thousands, hundreds, tens, and ones, then convert each place value to its Roman numeral equivalent and concatenate the results.",Medium,algorithms,"Hash Table,Math,String"
13,"Roman to Integer
Roman numerals are represented by seven different symbols: I, V, X, L, C, D and M. For example, 2 is written as II in Roman numeral, just two ones added together. 12 is written as XII, which is simply X + II. The number 27 is written as XXVII, which is XX + V + II. Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not IIII. Instead, the number four is written as IV. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as IX. There are six instances where subtraction is used: Given a roman numeral, convert it to an integer. ",Subtract the current value from the total if the next value is smaller.,"Add the value of each numeral to a running total, ignoring subtractive cases.",Multiply the value of each numeral by its position in the string and sum the results.,Use a lookup table to directly convert the entire Roman numeral string into its integer equivalent.,"Iterate from right to left, adding the current value and subtracting if it's less than the next value.",Easy,algorithms,"Hash Table,Math,String"
17,"Letter Combinations of a Phone Number
Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in any order. A mapping of digits to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters. ",Breadth-first search (BFS),Dynamic programming,Greedy algorithm,Divide and conquer,Depth-first search (DFS) with backtracking,Medium,algorithms,"Hash Table,String,Backtracking"
18,"4Sum
Given an array nums of n integers, return an array of all the unique quadruplets [nums[a], nums[b], nums[c], nums[d]] such that: You may return the answer in any order. ",Use brute force: iterate through all possible combinations of four numbers.,Sort the array and use three pointers with binary search for the fourth number.,"Create a hash map to store pairs and their sums, then find pairs that add up to the target.",Recursively divide the array into smaller subproblems and combine the results.,Sort the array and use two pointers to reduce the problem to a 2Sum variant.,Medium,algorithms,"Array,Two Pointers,Sorting"
19,"Remove Nth Node From End of List
Given the head of a linked list, remove the nth node from the end of the list and return its head. ",Use one pointer to traverse to the (L-n)th node and delete the next node,Use recursion to find the nth node from the end and modify the links during backtracking,"Store the linked list in an array, remove the element at index (length - n), and rebuild the list","Reverse the linked list, remove the nth node from the beginning, and reverse it back","Use two pointers, one 'n' nodes ahead, to find the (L-n)th node from the beginning",Medium,algorithms,"Linked List,Two Pointers"
20,"Valid Parentheses
Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if: ",Strings with mismatched opening and closing brackets are always valid.,The order of brackets doesn't matter as long as the counts are equal.,Use regular expressions to match bracket pairs and recursively remove them.,A valid string must start with an opening bracket and end with a closing bracket.,Use a stack to track opening brackets and verify matching closing brackets in the correct order.,Easy,algorithms,"String,Stack"
21,"Merge Two Sorted Lists
You are given the heads of two sorted linked lists list1 and list2. Merge the two lists into one sorted list. The list should be made by splicing together the nodes of the first two lists. Return the head of the merged linked list. ",Create a new list and alternately insert elements from both lists based on their index parity.,Append list2 to the end of list1 and then sort the resulting list1 in place.,Use a hash table to store the frequency of each value and then reconstruct the sorted list.,Recursively select the largest element from either list and prepend it to the result of merging the remaining portions.,"Iteratively compare the head nodes of both lists, appending the smaller one to the merged list and advancing its pointer.",Easy,data structures,"Linked List,Recursion"
22,"Generate Parentheses
Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses. ",Use dynamic programming to build solutions from smaller subproblems by iteratively adding '()' to valid combinations.,"Employ a greedy approach, always adding '(' unless the number of open parentheses equals n, then add ')'.",Generate all possible combinations of '(' and ')' and then validate each one using a stack.,Start with '()' and recursively add either '(' to the beginning or ')' to the end of the string.,"Use backtracking to explore adding '(' or ')' at each step, ensuring the number of open parentheses is always greater than or equal to the number of closed parentheses.",Medium,algorithms,"String,Dynamic Programming,Backtracking"
23,"Merge k Sorted Lists
You are given an array of k linked-lists lists, each linked-list is sorted in ascending order. Merge all the linked-lists into one sorted linked-list and return it. ",Concatenate all lists and then apply a sorting algorithm.,Repeatedly merge pairs of lists until only one list remains.,Push all list elements onto a stack and then pop them off in sorted order.,Only compare the head nodes of the first two lists.,Use a priority queue to keep track of the smallest head node of all lists.,Hard,algorithms,"Linked List,Divide and Conquer,Heap (Priority Queue),Merge Sort"
24,"Swap Nodes in Pairs
Given a linked list, swap every two adjacent nodes and return its head. You must solve the problem without modifying the values in the list's nodes (i.e., only nodes themselves may be changed.) ","Recursively swap pairs starting from the head, and link the swapped pairs together",Iteratively swap the 'val' attributes of adjacent nodes,"Reverse the entire linked list, then iterate and swap pairs","Store the list in an array, swap elements in the array, and rebuild the linked list",Iteratively swap the 'next' pointers of adjacent nodes by maintaining previous and current pointers,Medium,data structures,"Linked List,Recursion"
25,"Reverse Nodes in k-Group
Given the head of a linked list, reverse the nodes of the list k at a time, and return the modified list. k is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of k then left-out nodes, in the end, should remain as it is. You may not alter the values in the list's nodes, only nodes themselves may be changed. ","Recursively reverse each k-group, but without checking for sufficient nodes, leading to errors when the list length isn't a multiple of k",Reverse the entire linked list first and then process it in k-sized chunks.,"Iterate through the linked list and store the node values in an array, reverse the array in k-sized chunks and then update the linked list with the new values.",Reverse only the first k nodes and then terminate the process without considering the rest of the list.,"Iteratively reverse each k-sized group of nodes, maintaining pointers to the previous group and the next group, and handling the case where the remaining list has fewer than k nodes.",Hard,algorithms,"Linked List,Recursion"
26,"Remove Duplicates from Sorted Array
Given an integer array nums sorted in non-decreasing order, remove the duplicates in-place such that each unique element appears only once. The relative order of the elements should be kept the same. Then return the number of unique elements in nums. Consider the number of unique elements of nums to be k, to get accepted, you need to do the following things: Custom Judge: The judge will test your solution with the following code: If all assertions pass, then your solution will be accepted. ","Create a new array and only add elements that are different from the previous one, using extra space.",Use a hash set to store unique elements and then copy them back to the original array. This may not preserve original order.,"Sort the array first, then iterate through it, removing elements that are equal to their neighbors.","Recursively call a function that removes the duplicate at the current index if it exists, otherwise move to the next index.","Use two pointers, one for iterating and one for tracking the index to place the next unique element.",Easy,algorithms,"Array,Two Pointers"
27,"Remove Element
Given an integer array nums and an integer val, remove all occurrences of val in nums in-place. The order of the elements may be changed. Then return the number of elements in nums which are not equal to val. Consider the number of elements in nums which are not equal to val be k, to get accepted, you need to do the following things: Custom Judge: The judge will test your solution with the following code: If all assertions pass, then your solution will be accepted. ","Create a new array, copying elements that are not equal to val",Use a hash map to count the occurrences of each element and reconstruct the array without val,Sort the array and then remove all occurrences of val using binary search,"Replace all occurrences of val with a placeholder value (e.g., -1) and then sort the array","Use the two-pointer technique, one to iterate and another to track the position for elements not equal to val",Easy,algorithms,"Array,Two Pointers"
32,"Longest Valid Parentheses
Given a string containing just the characters '(' and ')', return the length of the longest valid (well-formed) parentheses substring. ",Recursively check all possible substrings for balanced parentheses.,Use dynamic programming to store the lengths of valid parentheses ending at each index.,"Employ a greedy approach, always selecting the longest possible sequence.",Maintain a counter to track the depth of nesting and reset when an invalid sequence is encountered.,Utilize a stack to track the indices of unmatched opening parentheses.,Hard,algorithms,"String,Dynamic Programming,Stack"
33,"Search in Rotated Sorted Array
There is an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2]. Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums. You must write an algorithm with O(log n) runtime complexity. ",Linear search the entire array.,Perform binary search directly without considering rotation.,"Find the minimum element, then perform two binary searches.",Split the array into two unsorted sub-arrays and search them separately.,"Find the pivot, then perform binary search in the appropriate sub-array.",Medium,algorithms,"Array,Binary Search"
34,"Find First and Last Position of Element in Sorted Array
Given an array of integers nums sorted in non-decreasing order, find the starting and ending position of a given target value. If target is not found in the array, return [-1, -1]. You must write an algorithm with O(log n) runtime complexity. ",Linear search from the beginning to find the first and from the end to find the last occurrence.,Perform a single binary search and then expand outwards linearly to find the range.,"Use two separate binary searches, one optimized to find the closest smaller element and another for the closest larger element.",Sort the input array and use binary search to find the first and last occurrence.,"Use two binary searches, one to find the first occurrence and another to find the last occurrence.",Medium,algorithms,"Array,Binary Search"
35,"Search Insert Position
Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order. You must write an algorithm with O(log n) runtime complexity. ",Linear search from the beginning of the array until a larger element is found.,"Check if the target is smaller than the first element or larger than the last, then perform a linear search in the applicable half.",Recursively divide the array in half until the target is found or the base case (single element) is reached.,Iterate through the array using a standard for loop to find the correct position.,Use binary search to find the target or the appropriate insertion point.,Easy,algorithms,"Array,Binary Search"
36,"Valid Sudoku
Determine if a 9 x 9 Sudoku board is valid. Only the filled cells need to be validated according to the following rules: Note: ",Check only the 3x3 subgrids to ensure no repeated numbers,"Verify only the rows have unique digits, ignoring columns and subgrids",Confirm that each digit from 1-9 appears exactly 9 times in the whole board,"The board is valid if the sum of each row, column, and subgrid equals 45","Validate that each row, each column, and each 3x3 subgrid contains unique digits from 1-9",Medium,algorithms,"Array,Hash Table,Matrix"
37,"Sudoku Solver
Write a program to solve a Sudoku puzzle by filling the empty cells. A sudoku solution must satisfy all of the following rules: The '.' character indicates empty cells. ",Backtracking is generally inefficient for constraint satisfaction problems like Sudoku.,Use dynamic programming to memoize the solution for subgrids.,Employ a greedy algorithm by filling in the cell with the smallest possible value at each step.,Transform the Sudoku grid into a linear programming problem and solve it using simplex.,Use backtracking with constraint propagation to explore possible solutions and prune invalid branches early.,Hard,algorithms,"Array,Backtracking,Matrix"
38,"Count and Say
The count-and-say sequence is a sequence of digit strings defined by the recursive formula: Run-length encoding (RLE) is a string compression method that works by replacing consecutive identical characters (repeated 2 or more times) with the concatenation of the character and the number marking the count of the characters (length of the run). For example, to compress the string ""3322251"" we replace ""33"" with ""23"", replace ""222"" with ""32"", replace ""5"" with ""15"" and replace ""1"" with ""11"". Thus the compressed string becomes ""23321511"". Given a positive integer n, return the nth element of the count-and-say sequence. ",Memoization,Greedy Algorithm,Backtracking,Divide and Conquer,Recursion,Medium,algorithms,String
39,"Combination Sum
Given an array of distinct integers candidates and a target integer target, return a list of all unique combinations of candidates where the chosen numbers sum to target. You may return the combinations in any order. The same number may be chosen from candidates an unlimited number of times. Two combinations are unique if the frequency of at least one of the chosen numbers is different. The test cases are generated such that the number of unique combinations that sum up to target is less than 150 combinations for the given input. ",Use dynamic programming with a table storing the minimum number of candidates to reach each sum.,"Sort the candidates array and use a greedy approach, always choosing the largest candidate less than or equal to the remaining target.",Generate all possible subsets of candidates and filter out those that don't sum to the target.,"Iterate through the candidates array linearly, and for each candidate, subtract it from the target until the target is zero.","Use backtracking to explore all possible combinations, pruning branches when the sum exceeds the target.",Medium,algorithms,"Array,Backtracking"
40,"Combination Sum II
Given a collection of candidate numbers (candidates) and a target number (target), find all unique combinations in candidates where the candidate numbers sum to target. Each number in candidates may only be used once in the combination. Note: The solution set must not contain duplicate combinations. ","Use dynamic programming with a 2D array to store intermediate results, indexed by current number and remaining target value, without handling duplicates effectively.","Sort the input and use a backtracking approach, including each candidate multiple times until the target is reached or exceeded.","Iterate through all possible subsets of candidates and filter those that sum to the target, without considering duplicate combinations.","Apply a greedy algorithm, always choosing the largest candidate less than or equal to the remaining target value.",Sort the candidates array and use a backtracking approach with pruning to avoid duplicate combinations by skipping over identical consecutive numbers.,Medium,algorithms,"Array,Backtracking"
41,"First Missing Positive
Given an unsorted integer array nums. Return the smallest positive integer that is not present in nums. You must implement an algorithm that runs in O(n) time and uses O(1) auxiliary space. ",Use a hash table to store all present numbers and then iterate from 1 to find the missing one,"Sort the array and then iterate through it, checking for the first missing positive integer",Recursively search for each positive integer starting from 1,"Replace negative numbers, zeros, and numbers larger than n by 1s. Iterate and use the index as a hash key and number sign as a presence detector.","Rearrange the array such that nums[i] = i+1, then iterate to find the first mismatch.",Hard,algorithms,"Array,Hash Table"
42,"Trapping Rain Water
Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining. ",Dynamic Programming: Build two arrays representing the highest bar to the left and right for each position.,Divide and Conquer: Recursively split the array and calculate trapped water in subproblems.,Greedy Approach: Iterate and always fill the minimum possible level with water until it's no longer possible.,"Brute Force: For each index, find the maximum height of the left and right sides by iterating through the entire array each time.","Two Pointers: Maintain left and right pointers, moving the smaller one inwards while tracking maximum heights on each side.",Hard,algorithms,"Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack"
43,"Multiply Strings
Given two non-negative integers num1 and num2 represented as strings, return the product of num1 and num2, also represented as a string. Note: You must not use any built-in BigInteger library or convert the inputs to integer directly. ",Convert both strings to integers using `parseInt()` and then multiply them,Use dynamic programming to store intermediate products for optimization,Employ the Karatsuba algorithm for faster multiplication of large numbers,"Iterate through each digit of the first string and multiply it by the entire second string, accumulating the results",Simulate manual multiplication by iterating through each digit of both strings and using an array to store intermediate products and carry-overs.,Medium,algorithms,"Math,String,Simulation"
48,"Rotate Image
You are given an n x n 2D matrix representing an image, rotate the image by 90 degrees (clockwise). You have to rotate the image in-place, which means you have to modify the input 2D matrix directly. DO NOT allocate another 2D matrix and do the rotation. ",Transpose the matrix and then reverse each row.,Reverse the order of the rows and then transpose the matrix.,"Create a new matrix and copy elements from the original in rotated order, then copy back.",Iterate through diagonals and swap elements around the center.,"Iterate through layers, swapping elements in a circular manner within each layer.",Medium,algorithms,"Array,Math,Matrix"
49,"Group Anagrams
Given an array of strings strs, group the anagrams together. You can return the answer in any order. ",Sort each string and use the sorted string as a key in a hash map to group anagrams.,Use a trie data structure to store the strings and retrieve anagrams.,Compare each string with every other string in the array to find anagrams.,Create a frequency count array for each string and compare the arrays to group anagrams.,Create a hash map where the key is a character count tuple and the value is a list of anagrams.,Medium,algorithms,"Hash Table,String,Sorting"
50,"Pow(x, n)
Implement pow(x, n), which calculates x raised to the power n (i.e., xn). ","Iteratively multiply x by itself n times, handling negative n with reciprocal",Use logarithms to calculate n * log(x) and then exponentiate the result,Apply dynamic programming to store intermediate powers of x,Employ a naive loop multiplying x by itself n times,Utilize binary exponentiation to recursively calculate the power in O(log n) time,Medium,algorithms,"Math,Recursion"
51,"N-Queens
The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the n-queens puzzle. You may return the answer in any order. Each solution contains a distinct board configuration of the n-queens' placement, where 'Q' and '.' both indicate a queen and an empty space, respectively. ","Utilize backtracking, pruning branches when a queen attacks another along rows only.","Employ a greedy algorithm, placing queens row by row in the safest available column.",Randomly place queens and iteratively adjust positions until no conflicts remain; repeat until a solution is found or a timeout is reached.,"Place queens using dynamic programming, building up solutions from smaller board sizes.","Employ backtracking, pruning branches when a queen attacks another along rows, columns, or diagonals.",Hard,algorithms,"Array,Backtracking"
52,"N-Queens II
The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other. Given an integer n, return the number of distinct solutions to the n-queens puzzle. ",Use dynamic programming to store intermediate board states and prune search branches.,"Employ a greedy algorithm, placing queens in the most promising positions based on immediate threats.",Generate all possible board configurations and filter out invalid solutions.,Utilize a backtracking algorithm with pruning based on column conflicts only.,"Use a backtracking algorithm, pruning the search space by checking row, column, and diagonal conflicts efficiently.",Hard,algorithms,Backtracking
53,"Maximum Subarray
Given an integer array nums, find the subarray with the largest sum, and return its sum. ",Divide and Conquer,Greedy Algorithm,Dynamic Programming with O(n^2) space,Backtracking,Dynamic Programming with O(1) space (Kadane's Algorithm),Medium,algorithms,"Array,Divide and Conquer,Dynamic Programming"
54,"Spiral Matrix
Given an m x n matrix, return all elements of the matrix in spiral order. ","Simultaneously traverse rows and columns, incrementing indices linearly until all elements are visited.",Recursively extract the outer layers of the matrix and concatenate them until the matrix is empty.,Sort the matrix elements and then arrange them in spiral order.,"Transpose the matrix repeatedly, extracting the first row in each step.","Iteratively traverse the outer layers of the matrix, updating boundaries after each layer.",Medium,algorithms,"Array,Matrix,Simulation"
55,"Jump Game
You are given an integer array nums. You are initially positioned at the array's first index, and each element in the array represents your maximum jump length at that position. Return true if you can reach the last index, or false otherwise. ","Use dynamic programming, building a table to store reachability from each index.","Implement a greedy algorithm iterating backward from the end, marking indices as 'good' if they can reach the end.",Perform a depth-first search to explore all possible jump combinations.,Sort the array and check if the sum of the first k elements is greater than or equal to the index of the (k+1)-th element.,"Implement a greedy algorithm iterating forward, tracking the furthest reachable index.",Medium,algorithms,"Array,Dynamic Programming,Greedy"
56,"Merge Intervals
Given an array of intervals where intervals[i] = [starti, endi], merge all overlapping intervals, and return an array of the non-overlapping intervals that cover all the intervals in the input. ","Use a nested loop to compare each interval with all other intervals for merging, resulting in O(n^2) complexity",Sort the intervals based on their ending times and then merge overlapping intervals iteratively,"Use a hash map to store the frequency of each start and end time, then reconstruct the merged intervals","Recursively divide the intervals into smaller subproblems, merge them, and combine the results",Sort the intervals based on their starting times and then merge overlapping intervals iteratively,Medium,algorithms,"Array,Sorting"
57,"Insert Interval
You are given an array of non-overlapping intervals intervals where intervals[i] = [starti, endi] represent the start and the end of the ith interval and intervals is sorted in ascending order by starti. You are also given an interval newInterval = [start, end] that represents the start and end of another interval. Insert newInterval into intervals such that intervals is still sorted in ascending order by starti and intervals still does not have any overlapping intervals (merge overlapping intervals if necessary). Return intervals after the insertion. Note that you don't need to modify intervals in-place. You can make a new array and return it. ",Append the new interval to the end and sort the entire array.,Replace the first interval with the new interval and leave the rest unchanged.,Only insert the new interval if it doesn't overlap with any existing intervals.,Prepend the new interval to the beginning of the sorted array.,"Iterate through the sorted array, merging the new interval with overlapping intervals and inserting it in the correct position.",Medium,algorithms,Array
58,"Length of Last Word
Given a string s consisting of words and spaces, return the length of the last word in the string. A word is a maximal substring consisting of non-space characters only. ",Using dynamic programming to store results of subproblems based on starting index,"Recursively traversing the string from start to end, summing word lengths",Splitting the string into an array and returning the length of the last element,Counting all characters except spaces and subtracting the total word length,"Traversing the string from the end, skipping trailing spaces, and counting characters until the next space",Easy,algorithms,String
59,"Spiral Matrix II
Given a positive integer n, generate an n x n matrix filled with elements from 1 to n2 in spiral order. ","Initialize the matrix with zeros and fill it by repeatedly shrinking the boundaries, moving right, down, left, and up.","Create a 1D array of size n*n, sort it, and then map the sorted elements to the matrix in a spiral order.","Use recursion to fill sub-matrices, starting from the center and working outwards.","Allocate a matrix of size (n+2)x(n+2), pad the inner n x n part with 0's, then fill it using a wave propagation method.","Simulate the spiral path by maintaining direction variables (right, down, left, up) and updating them when hitting boundaries or filled cells.",Medium,algorithms,"Array,Matrix,Simulation"
60,"Permutation Sequence
The set [1, 2, 3, ..., n] contains a total of n! unique permutations. By listing and labeling all of the permutations in order, we get the following sequence for n = 3: Given n and k, return the kth permutation sequence. ",Depth-First Search (DFS),Greedy Algorithm,Dynamic Programming,Binary Search,Factorial Number System,Hard,algorithms,"Math,Recursion"
61,"Rotate List
Given the head of a linked list, rotate the list to the right by k places. ","Create a new linked list and copy elements from the original, shifting by k","Reverse the linked list, shift elements, then reverse again",Split the linked list into k sublists and concatenate them in reverse order,"Iterate through the linked list k times, moving the tail to the head","Find the length of the list, adjust k, break the list, and reconnect it correctly",Medium,algorithms,"Linked List,Two Pointers"
62,"Unique Paths
There is a robot on an m x n grid. The robot is initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m - 1][n - 1]). The robot can only move either down or right at any point in time. Given the two integers m and n, return the number of possible unique paths that the robot can take to reach the bottom-right corner. The test cases are generated so that the answer will be less than or equal to 2 * 109. ",Calculate the product of m and n,Compute m raised to the power of n,Return the minimum of m and n,Return the maximum of m and n,Calculate (m+n-2)! / ((m-1)! * (n-1)!) using dynamic programming or combinatorics,Medium,algorithms,"Math,Dynamic Programming,Combinatorics"
63,"Unique Paths II
You are given an m x n integer array grid. There is a robot initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m - 1][n - 1]). The robot can only move either down or right at any point in time. An obstacle and space are marked as 1 or 0 respectively in grid. A path that the robot takes cannot include any square that is an obstacle. Return the number of possible unique paths that the robot can take to reach the bottom-right corner. The testcases are generated so that the answer will be less than or equal to 2 * 109. ","Use Dijkstra's algorithm to find the shortest path, then count all paths of that length.","Apply a greedy algorithm, always choosing the path with the fewest obstacles.","Recursively explore all possible paths, pruning branches that lead to obstacles, but without memoization.",Calculate the total number of paths without obstacles and subtract the number of paths that pass through obstacles.,Use dynamic programming to store the number of paths to each cell.,Medium,algorithms,"Array,Dynamic Programming,Matrix"
68,"Text Justification
Given an array of strings words and a width maxWidth, format the text such that each line has exactly maxWidth characters and is fully (left and right) justified. You should pack your words in a greedy approach; that is, pack as many words as you can in each line. Pad extra spaces ' ' when necessary so that each line has exactly maxWidth characters. Extra spaces between words should be distributed as evenly as possible. If the number of spaces on a line does not divide evenly between words, the empty slots on the left will be assigned more spaces than the slots on the right. For the last line of text, it should be left-justified, and no extra space is inserted between words. Note: ","Prioritize distributing spaces evenly, then add one space at a time to each gap from right to left.",Calculate the average space between words and add extra spaces to the longest words.,Distribute spaces randomly to each gap until the line reaches maxWidth.,"Fill each line with as many words as possible, adding spaces only at the end to reach maxWidth.","Calculate the number of spaces needed and distribute them evenly, adding extra spaces from left to right for uneven distribution.",Hard,algorithms,"Array,String,Simulation"
