Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Valid Triangle Number,valid-triangle-number,611,"Given an integer array nums, return the number of triplets chosen from the array that can make triangles if we take them as side lengths of a triangle. ","Array,Two Pointers,Binary Search,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,52.4,438129,229517,,3933,225,,"259,3262","3Sum Smaller,Find Polygon With the Largest Perimeter"
Shortest Distance in a Plane,shortest-distance-in-a-plane,612,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,61.2,74887,45861,,224,71,,,
Shortest Distance in a Line,shortest-distance-in-a-line,613,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,79.9,100517,80343,,340,40,,,
Second Degree Follower,second-degree-follower,614,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,40.0,148477,59437,,164,744,,,
Average Salary: Departments VS Company,average-salary-departments-vs-company,615,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Hard,56.8,72332,41068,,241,76,,1641,Countries You Can Safely Invest In
Add Bold Tag in String,add-bold-tag-in-string,616,,"Array,Hash Table,String,Trie,String Matching","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI3,VG9waWNUYWdOb2RlOjYxMDUy",Medium,51.0,198051,101031,,1105,199,,"56,591","Merge Intervals,Tag Validator"
Merge Two Binary Trees,merge-two-binary-trees,617,"You are given two binary trees root1 and root2. Imagine that when you put one of them to cover the other, some nodes of the two trees are overlapped while the others are not. You need to merge the two trees into a new binary tree. The merge rule is that if two nodes overlap, then sum node values up as the new value of the merged node. Otherwise, the NOT null node will be used as the node of the new tree. Return the merged tree. Note: The merging process must start from the root nodes of both trees. ","Tree,Depth-First Search,Breadth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDU3",Easy,78.7,1073429,844867,,8945,313,,,
Students Report By Geography,students-report-by-geography,618,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Hard,63.7,42933,27354,,191,170,,,
Biggest Single Number,biggest-single-number,619,"Table: MyNumbers  A single number is a number that appeared only once in the MyNumbers table. Find the largest single number. If there is no single number, report null. The result format is in the following example. ",Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,69.6,571974,398074,,802,195,,,
Not Boring Movies,not-boring-movies,620,"Table: Cinema  Write a solution to report the movies with an odd-numbered ID and a description that is not ""boring"". Return the result table ordered by rating in descending order. The result format is in the following example. ",Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,74.9,1107215,829667,,1319,550,,,
Task Scheduler,task-scheduler,621,"You are given an array of CPU tasks, each labeled with a letter from A to Z, and a number n. Each CPU interval can be idle or allow the completion of one task. Tasks can be completed in any order, but there's a constraint: there has to be a gap of at least n intervals between two tasks with the same label. Return the minimum number of CPU intervals required to complete all tasks. ","Array,Hash Table,Greedy,Sorting,Heap (Priority Queue),Counting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDYy",Medium,61.6,1316889,811102,,11176,2155,"There are many different solutions for this problem, including a greedy algorithm. For every cycle, find the most frequent letter that can be placed in this cycle. After placing, decrease the frequency of that letter by one. Use Priority Queue.","358,778,2084,2458,2483","Rearrange String k Distance Apart,Reorganize String,Maximum Number of Weeks for Which You Can Work,Find Minimum Time to Finish All Jobs II,Task Scheduler II"
Design Circular Queue,design-circular-queue,860,"Design your implementation of the circular queue. The circular queue is a linear data structure in which the operations are performed based on FIFO (First In First Out) principle, and the last position is connected back to the first position to make a circle. It is also called ""Ring Buffer"". One of the benefits of the circular queue is that we can make use of the spaces in front of the queue. In a normal queue, once the queue becomes full, we cannot insert the next element even if there is a space in front of the queue. But using the circular queue, we can use the space to store new values. Implement the MyCircularQueue class: You must solve the problem without using the built-in queue data structure in your programming language. ","Array,Linked List,Design,Queue","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0",Medium,52.7,743428,391739,,3691,320,,"859,1767","Design Circular Deque,Design Front Middle Back Queue"
Add One Row to Tree,add-one-row-to-tree,623,"Given the root of a binary tree and two integers val and depth, add a row of nodes with value val at the given depth depth. Note that the root node is at depth 1. The adding rule is: ","Tree,Depth-First Search,Breadth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDU3",Medium,64.1,454154,290899,,3617,270,,,
Maximum Distance in Arrays,maximum-distance-in-arrays,624,"You are given m arrays, where each array is sorted in ascending order. You can pick up two integers from two different arrays (each array picks one) and calculate the distance. We define the distance between two integers a and b to be their absolute difference |a - b|. Return the maximum distance. ","Array,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3",Medium,45.6,418544,190885,,1468,117,,,
Minimum Factorization,minimum-factorization,625,,"Math,Greedy","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE3",Medium,33.8,35143,11888,,130,112,,,
Exchange Seats,exchange-seats,626,"Table: Seat  Write a solution to swap the seat id of every two consecutive students. If the number of students is odd, the id of the last student is not swapped. Return the result table ordered by id in ascending order. The result format is in the following example. ",Database,VG9waWNUYWdOb2RlOjYxMDQz,Medium,72.7,484423,352393,,1701,606,,,
Swap Salary,swap-salary,627,"Table: Salary  Write a solution to swap all 'f' and 'm' values (i.e., change all 'f' values to 'm' and vice versa) with a single update statement and no intermediate temporary tables. Note that you must write a single update statement, do not write any select statement for this problem. The result format is in the following example. ",Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,84.0,566940,476442,,1802,569,,,
Maximum Product of Three Numbers,maximum-product-of-three-numbers,628,"Given an integer array nums, find three numbers whose product is maximum and return the maximum product. ","Array,Math,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,45.3,913785,414174,,4390,705,,152,Maximum Product Subarray
K Inverse Pairs Array,k-inverse-pairs-array,629,"For an integer array nums, an inverse pair is a pair of integers [i, j] where 0 <= i < j < nums.length and nums[i] > nums[j]. Given two integers n and k, return the number of different arrays consisting of numbers from 1 to n such that there are exactly k inverse pairs. Since the answer can be huge, return it modulo 109 + 7. ",Dynamic Programming,VG9waWNUYWdOb2RlOjEz,Hard,49.0,276542,135633,,2730,329,,3460,Count the Number of Inversions
Course Schedule III,course-schedule-iii,630,"There are n different online courses numbered from 1 to n. You are given an array courses where courses[i] = [durationi, lastDayi] indicate that the ith course should be taken continuously for durationi days and must be finished before or on lastDayi. You will start on the 1st day and you cannot take two or more courses simultaneously. Return the maximum number of courses that you can take. ","Array,Greedy,Sorting,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw",Hard,40.7,307760,125224,,3901,102,"During iteration, say I want to add the current course, currentTotalTime being total time of all courses taken till now, but adding the current course might exceed my deadline or it doesn’t.

1. If it doesn’t, then I have added one new course. Increment the currentTotalTime with duration of current course. 2. If it exceeds deadline, I can swap current course with current courses that has biggest duration.
* No harm done and I might have just reduced the currentTotalTime, right?
* What preprocessing do I need to do on my course processing order so that this swap is always legal?","207,210,2176","Course Schedule,Course Schedule II,Parallel Courses III"
Design Excel Sum Formula,design-excel-sum-formula,631,,"Array,Hash Table,String,Graph,Design,Topological Sort,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI0,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjI2,VG9waWNUYWdOb2RlOjYxMDUz",Hard,42.4,60710,25762,,255,288,,,
Smallest Range Covering Elements from K Lists,smallest-range-covering-elements-from-k-lists,632,"You have k lists of sorted integers in non-decreasing order. Find the smallest range that includes at least one number from each of the k lists. We define the range [a, b] is smaller than range [c, d] if b - a < d - c or a < c if b - a == d - c. ","Array,Hash Table,Greedy,Sliding Window,Sorting,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjU1ODIx,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw",Hard,69.8,313198,218483,,4227,96,,76,Minimum Window Substring
Sum of Square Numbers,sum-of-square-numbers,633,"Given a non-negative integer c, decide whether there're two integers a and b such that a2 + b2 = c. ","Math,Two Pointers,Binary Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEx",Medium,36.5,1087958,397242,,3337,615,,"367,2844","Valid Perfect Square,Sum of Squares of Special Elements "
Find the Derangement of An Array,find-the-derangement-of-an-array,634,,"Math,Dynamic Programming,Combinatorics","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDU2",Medium,41.7,28682,11966,,218,164,,,
Design Log Storage System,design-log-storage-system,635,,"Hash Table,String,Design,Ordered Set","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDcw",Medium,59.2,64051,37919,,481,222,,588,Design In-Memory File System
Exclusive Time of Functions,exclusive-time-of-functions,636,"On a single-threaded CPU, we execute a program containing n functions. Each function has a unique ID between 0 and n-1. Function calls are stored in a call stack: when a function call starts, its ID is pushed onto the stack, and when a function call ends, its ID is popped off the stack. The function whose ID is at the top of the stack is the current function being executed. Each time a function starts or ends, we write a log with the ID, whether it started or ended, and the timestamp. You are given a list logs, where logs[i] represents the ith log message formatted as a string ""{function_id}:{""start"" | ""end""}:{timestamp}"". For example, ""0:start:3"" means a function call with function ID 0 started at the beginning of timestamp 3, and ""1:end:2"" means a function call with function ID 1 ended at the end of timestamp 2. Note that a function can be called multiple times, possibly recursively. A function's exclusive time is the sum of execution times for all function calls in the program. For example, if a function is called twice, one call executing for 2 time units and another call executing for 1 time unit, the exclusive time is 2 + 1 = 3. Return the exclusive time of each function in an array, where the value at the ith index represents the exclusive time for the function with ID i. ","Array,Stack","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE1",Medium,64.8,434499,281656,,2085,2897,,,
Average of Levels in Binary Tree,average-of-levels-in-binary-tree,637,,"Tree,Depth-First Search,Breadth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDU3",Easy,74.1,884395,655665,,5458,346,,"102,107","Binary Tree Level Order Traversal,Binary Tree Level Order Traversal II"
Shopping Offers,shopping-offers,638,"In LeetCode Store, there are n items to sell. Each item has a price. However, there are some special offers, and a special offer consists of one or more different kinds of items with a sale price. You are given an integer array price where price[i] is the price of the ith item, and an integer array needs where needs[i] is the number of pieces of the ith item you want to buy. You are also given an array special where special[i] is of size n + 1 where special[i][j] is the number of pieces of the jth item in the ith offer and special[i][n] (i.e., the last integer in the array) is the price of the ith offer. Return the lowest price you have to pay for exactly certain items as given, where you could make optimal use of the special offers. You are not allowed to buy more items than you want, even if that would lower the overall price. You could use any of the special offers as many times as you want. ","Array,Dynamic Programming,Backtracking,Bit Manipulation,Memoization,Bitmask","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjMz,VG9waWNUYWdOb2RlOjYxMDc4",Medium,51.9,137128,71186,,1582,779,,,
Decode Ways II,decode-ways-ii,639,"A message containing letters from A-Z can be encoded into numbers using the following mapping: To decode an encoded message, all the digits must be grouped then mapped back into letters using the reverse of the mapping above (there may be multiple ways). For example, ""11106"" can be mapped into: Note that the grouping (1 11 06) is invalid because ""06"" cannot be mapped into 'F' since ""6"" is different from ""06"". In addition to the mapping above, an encoded message may contain the '*' character, which can represent any digit from '1' to '9' ('0' is excluded). For example, the encoded message ""1*"" may represent any of the encoded messages ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", or ""19"". Decoding ""1*"" is equivalent to decoding any of the encoded messages it can represent. Given a string s consisting of digits and '*' characters, return the number of ways to decode it. Since the answer may be very large, return it modulo 109 + 7. ","String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Hard,31.2,264086,82445,,1624,822,,"91,2091,2251","Decode Ways,Number of Ways to Separate Numbers,Number of Ways to Divide a Long Corridor"
Solve the Equation,solve-the-equation,640,"Solve a given equation and return the value of 'x' in the form of a string ""x=#value"". The equation contains only '+', '-' operation, the variable 'x' and its coefficient. You should return ""No solution"" if there is no solution for the equation, or ""Infinite solutions"" if there are infinite solutions for the equation. If there is exactly one solution for the equation, we ensure that the value of 'x' is an integer. ","Math,String,Simulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDU1",Medium,44.6,100763,44917,,529,847,,"592,2328","Fraction Addition and Subtraction,Minimize Result by Adding Parentheses to Expression"
Design Circular Deque,design-circular-deque,859,Design your implementation of the circular double-ended queue (deque). Implement the MyCircularDeque class: ,"Array,Linked List,Design,Queue","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0",Medium,64.4,279867,180154,,1624,105,,"860,1767","Design Circular Queue,Design Front Middle Back Queue"
Design Search Autocomplete System,design-search-autocomplete-system,642,,"String,Depth-First Search,Design,Trie,Sorting,Heap (Priority Queue),Data Stream","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjI3,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDYz",Hard,49.4,316012,156158,,2155,193,,208,Implement Trie (Prefix Tree)
Maximum Average Subarray I,maximum-average-subarray-i,643,"You are given an integer array nums consisting of n elements, and an integer k. Find a contiguous subarray whose length is equal to k that has the maximum average value and return this value. Any answer with a calculation error less than 10-5 will be accepted. ","Array,Sliding Window","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjU1ODIx",Easy,45.4,1880931,854070,,3932,363,,"644,2211","Maximum Average Subarray II,K Radius Subarray Averages"
Maximum Average Subarray II,maximum-average-subarray-ii,644,,"Array,Binary Search,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDY4",Hard,37.5,59107,22160,,635,72,,643,Maximum Average Subarray I
Set Mismatch,set-mismatch,645,"You have a set of integers s, which originally contains all the numbers from 1 to n. Unfortunately, due to some error, one of the numbers in s got duplicated to another number in the set, which results in repetition of one number and loss of another number. You are given an integer array nums representing the data status of this set after the error. Find the number that occurs twice and the number that is missing and return them in the form of an array. ","Array,Hash Table,Bit Manipulation,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,45.0,1191262,536338,,4975,1190,,287,Find the Duplicate Number
Maximum Length of Pair Chain,maximum-length-of-pair-chain,646,"You are given an array of n pairs pairs where pairs[i] = [lefti, righti] and lefti < righti. A pair p2 = [c, d] follows a pair p1 = [a, b] if b < c. A chain of pairs can be formed in this fashion. Return the length longest chain which can be formed. You do not need to use up all the given intervals. You can select pairs in any order. ","Array,Dynamic Programming,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,60.9,459698,279982,,4763,135,,"300,491,2869","Longest Increasing Subsequence,Non-decreasing Subsequences,Longest Non-decreasing Subarray From Two Arrays"
Palindromic Substrings,palindromic-substrings,647,"Given a string s, return the number of palindromic substrings in it. A string is a palindrome when it reads the same backward as forward. A substring is a contiguous sequence of characters within the string. ","Two Pointers,String,Dynamic Programming","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Medium,71.7,1412928,1013172,,11149,247,"How can we reuse a previously computed palindrome to compute a larger palindrome? If “aba” is a palindrome, is “xabax” a palindrome? Similarly is “xabay” a palindrome? Complexity based hint:
If we use brute force and check whether for every start and end position a substring is a palindrome we have O(n^2) start - end pairs and O(n) palindromic checks. Can we reduce the time for palindromic checks to O(1) by reusing some previous computation?","5,516","Longest Palindromic Substring,Longest Palindromic Subsequence"
Replace Words,replace-words,648,"In English, we have a concept called root, which can be followed by some other word to form another longer word - let's call this word derivative. For example, when the root ""help"" is followed by the word ""ful"", we can form a derivative ""helpful"". Given a dictionary consisting of many roots and a sentence consisting of words separated by spaces, replace all the derivatives in the sentence with the root forming it. If a derivative can be replaced by more than one root, replace it with the root that has the shortest length. Return the sentence after the replacement. ","Array,Hash Table,String,Trie","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI3",Medium,68.4,438294,299673,,3037,219,,208,Implement Trie (Prefix Tree)
Dota2 Senate,dota2-senate,649,"In the world of Dota2, there are two parties: the Radiant and the Dire. The Dota2 senate consists of senators coming from two parties. Now the Senate wants to decide on a change in the Dota2 game. The voting for this change is a round-based procedure. In each round, each senator can exercise one of the two rights: Given a string senate representing each senator's party belonging. The character 'R' and 'D' represent the Radiant party and the Dire party. Then if there are n senators, the size of the given string will be n. The round-based procedure starts from the first senator to the last senator in the given order. This procedure will last until the end of voting. All the senators who have lost their rights will be skipped during the procedure. Suppose every senator is smart enough and will play the best strategy for his own party. Predict which party will finally announce the victory and change the Dota2 game. The output should be ""Radiant"" or ""Dire"". ","String,Greedy,Queue","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjM0",Medium,48.9,481164,235480,,2625,2008,,495,Teemo Attacking
2 Keys Keyboard,2-keys-keyboard,650,"There is only one character 'A' on the screen of a notepad. You can perform one of two operations on this notepad for each step: Given an integer n, return the minimum number of operations to get the character 'A' exactly n times on the screen. ","Math,Dynamic Programming","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz",Medium,59.1,471691,278754,,4298,245,How many characters may be there in the clipboard at the last step if n = 3? n = 7? n = 10? n = 24?,"651,1033,2595,2609","4 Keys Keyboard,Broken Calculator,Smallest Value After Replacing With Sum of Prime Factors,Distinct Prime Factors of Product of Array"
4 Keys Keyboard,4-keys-keyboard,651,,"Math,Dynamic Programming","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz",Medium,55.9,57943,32375,,727,93,,650,2 Keys Keyboard
Find Duplicate Subtrees,find-duplicate-subtrees,652,"Given the root of a binary tree, return all duplicate subtrees. For each kind of duplicate subtrees, you only need to return the root node of any one of them. Two trees are duplicate if they have the same structure with the same node values. ","Hash Table,Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,60.1,488967,293895,,5999,494,,"297,449,606,2079","Serialize and Deserialize Binary Tree,Serialize and Deserialize BST,Construct String from Binary Tree,Delete Duplicate Folders in System"
Two Sum IV - Input is a BST,two-sum-iv-input-is-a-bst,653,"Given the root of a binary search tree and an integer k, return true if there exist two elements in the BST such that their sum is equal to k, or false otherwise. ","Hash Table,Two Pointers,Tree,Depth-First Search,Breadth-First Search,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3",Easy,62.3,1065793,663645,,7034,283,,"1,167,170,1150","Two Sum,Two Sum II - Input Array Is Sorted,Two Sum III - Data structure design,Two Sum BSTs"
Maximum Binary Tree,maximum-binary-tree,654,You are given an integer array nums with no duplicates. A maximum binary tree can be built recursively from nums using the following algorithm: Return the maximum binary tree built from nums. ,"Array,Divide and Conquer,Stack,Tree,Monotonic Stack,Binary Tree","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjYxMDU0,VG9waWNUYWdOb2RlOjYxMDU3",Medium,86.0,387678,333293,,5333,346,,1040,Maximum Binary Tree II
Print Binary Tree,print-binary-tree,655,"Given the root of a binary tree, construct a 0-indexed m x n string matrix res that represents a formatted layout of the tree. The formatted layout matrix should be constructed using the following rules: Return the constructed matrix res. ","Tree,Depth-First Search,Breadth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDU3",Medium,65.6,121144,79505,,535,464,,,
Coin Path,coin-path,656,,"Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",Hard,32.5,46015,14932,,250,110,,"198,213","House Robber,House Robber II"
Robot Return to Origin,robot-return-to-origin,657,"There is a robot starting at the position (0, 0), the origin, on a 2D plane. Given a sequence of its moves, judge if this robot ends up at (0, 0) after it completes its moves. You are given a string moves that represents the move sequence of the robot where moves[i] represents its ith move. Valid moves are 'R' (right), 'L' (left), 'U' (up), and 'D' (down). Return true if the robot returns to the origin after it finishes all of its moves, or false otherwise. Note: The way that the robot is ""facing"" is irrelevant. 'R' will always make the robot move to the right once, 'L' will always make it move left, etc. Also, assume that the magnitude of the robot's movement is the same for each move. ","String,Simulation","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDU1",Easy,76.2,647777,493404,,2513,750,,"547,2239,3019","Number of Provinces,Execution of All Suffix Instructions Staying in a Grid,Furthest Point From Origin"
