Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Arithmetic Slices,arithmetic-slices,413,"An integer array is called arithmetic if it consists of at least three elements and if the difference between any two consecutive elements is the same. Given an integer array nums, return the number of arithmetic subarrays of nums. A subarray is a contiguous subsequence of the array. ","Array,Dynamic Programming,Sliding Window","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjU1ODIx",Medium,64.8,520385,337307,,5501,302,,"446,1752,2432,2492","Arithmetic Slices II - Subsequence,Arithmetic Subarrays,Number of Zero-Filled Subarrays,Length of the Longest Alphabetical Continuous Substring"
Third Maximum Number,third-maximum-number,414,"Given an integer array nums, return the third distinct maximum number in this array. If the third maximum does not exist, return the maximum number. ","Array,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,37.3,1853409,690585,,3264,3369,,"215,2836","Kth Largest Element in an Array,Neither Minimum nor Maximum"
Add Strings,add-strings,415,"Given two non-negative integers, num1 and num2 represented as string, return the sum of num1 and num2 as a string. You must solve the problem without using any built-in library for handling large integers (such as BigInteger). You must also not convert the inputs to integers directly. ","Math,String,Simulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDU1",Easy,51.9,1586042,823209,,5264,805,,"2,43,1031","Add Two Numbers,Multiply Strings,Add to Array-Form of Integer"
Partition Equal Subset Sum,partition-equal-subset-sum,416,"Given an integer array nums, return true if you can partition the array into two subsets such that the sum of the elements in both subsets is equal or false otherwise. ","Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",Medium,48.5,2568999,1245432,,13282,284,,"698,2108,2135,2162,2480,2601,2650","Partition to K Equal Sum Subsets,Minimize the Difference Between Target and Chosen Elements,Maximum Number of Ways to Partition an Array,Partition Array Into Two Arrays to Minimize Sum Difference,Find Subarrays With Equal Sum,Number of Great Partitions,Split With Minimum Sum"
Pacific Atlantic Water Flow,pacific-atlantic-water-flow,417,"There is an m x n rectangular island that borders both the Pacific Ocean and Atlantic Ocean. The Pacific Ocean touches the island's left and top edges, and the Atlantic Ocean touches the island's right and bottom edges. The island is partitioned into a grid of square cells. You are given an m x n integer matrix heights where heights[r][c] represents the height above sea level of the cell at coordinate (r, c). The island receives a lot of rain, and the rain water can flow to neighboring cells directly north, south, east, and west if the neighboring cell's height is less than or equal to the current cell's height. Water can flow from any cell adjacent to an ocean into the ocean. Return a 2D list of grid coordinates result where result[i] = [ri, ci] denotes that rain water can flow from cell (ri, ci) to both the Pacific and Atlantic oceans. ","Array,Depth-First Search,Breadth-First Search,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDUz",Medium,57.6,1055921,608049,,7887,1614,,,
Sentence Screen Fitting,sentence-screen-fitting,418,,"Array,String,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Medium,36.3,289691,105277,,1131,543,,"2082,2563","Minimum Cost to Separate Sentence Into Rows,Split Message Based on Limit"
Battleships in a Board,battleships-in-a-board,419,"Given an m x n matrix board where each cell is a battleship 'X' or empty '.', return the number of the battleships on board. Battleships can only be placed horizontally or vertically on board. In other words, they can only be made of the shape 1 x k (1 row, k columns) or k x 1 (k rows, 1 column), where k can be of any size. At least one horizontal or vertical cell separates between two battleships (i.e., there are no adjacent battleships). ","Array,Depth-First Search,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDUz",Medium,76.6,322173,246726,,2406,1010,,"200,286,695,1036","Number of Islands,Walls and Gates,Max Area of Island,Rotting Oranges"
Strong Password Checker,strong-password-checker,420,"A password is considered strong if the below conditions are all met: Given a string password, return the minimum number of steps required to make password strong. if password is already strong, return 0. In one step, you can: ","String,Greedy,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDUw",Hard,14.6,335644,49128,,926,1745,,2391,Strong Password Checker II
Maximum XOR of Two Numbers in an Array,maximum-xor-of-two-numbers-in-an-array,421,"Given an integer array nums, return the maximum result of nums[i] XOR nums[j], where 0 <= i <= j < n. ","Array,Hash Table,Bit Manipulation,Trie","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjI3",Medium,53.3,363514,193599,,5757,415,,"1826,2402,2494,2509,3193,3197","Maximum XOR With an Element From Array,Maximum XOR After Operations ,Sum of Prefix Scores of Strings,Minimize XOR,Maximum Strong Pair XOR I,Maximum Strong Pair XOR II"
Valid Word Square,valid-word-square,422,,"Array,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDUz",Easy,42.0,155114,65168,,439,271,,"425,777","Word Squares,Toeplitz Matrix"
Reconstruct Original Digits from English,reconstruct-original-digits-from-english,423,"Given a string s containing an out-of-order English representation of digits 0-9, return the digits in ascending order. ","Hash Table,Math,String","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw",Medium,51.6,173121,89321,,858,2776,,,
Longest Repeating Character Replacement,longest-repeating-character-replacement,424,You are given a string s and an integer k. You can choose any character of the string and change it to any other uppercase English character. You can perform this operation at most k times. Return the length of the longest substring containing the same letter you can get after performing the above operations. ,"Hash Table,String,Sliding Window","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjU1ODIx",Medium,57.3,1997833,1144526,,11841,657,,"340,1046,2119,2134,2319","Longest Substring with At Most K Distinct Characters,Max Consecutive Ones III,Minimum Number of Operations to Make Array Continuous,Maximize the Confusion of an Exam,Longest Substring of One Repeating Character"
Word Squares,word-squares,425,,"Array,String,Backtracking,Trie","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjI3",Hard,54.0,146216,78895,,1108,75,,422,Valid Word Square
Convert Binary Search Tree to Sorted Doubly Linked List,convert-binary-search-tree-to-sorted-doubly-linked-list,758,,"Linked List,Stack,Tree,Depth-First Search,Binary Search Tree,Binary Tree,Doubly-Linked List","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3,VG9waWNUYWdOb2RlOjYxMDU4",Medium,65.5,544649,356719,,2697,239,,94,Binary Tree Inorder Traversal
Construct Quad Tree,construct-quad-tree,772,"Given a n * n matrix grid of 0's and 1's only. We want to represent grid with a Quad-Tree. Return the root of the Quad-Tree representing grid. A Quad-Tree is a tree data structure in which each internal node has exactly four children. Besides, each node has two attributes: We can construct a Quad-Tree from a two-dimensional area using the following steps: If you want to know more about the Quad-Tree, you can refer to the wiki. Quad-Tree format: You don't need to read this section for solving the problem. This is only if you want to understand the output format here. The output represents the serialized format of a Quad-Tree using level order traversal, where null signifies a path terminator where no node exists below. It is very similar to the serialization of the binary tree. The only difference is that the node is represented as a list [isLeaf, val]. If the value of isLeaf or val is True we represent it as 1 in the list [isLeaf, val] and if the value of isLeaf or val is False we represent it as 0. ","Array,Divide and Conquer,Tree,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjYxMDUz",Medium,77.2,217503,167847,,1652,1911,,,
Serialize and Deserialize N-ary Tree,serialize-and-deserialize-n-ary-tree,765,,"String,Tree,Depth-First Search,Breadth-First Search","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy",Hard,68.3,140316,95803,,1068,57,,"297,449,771","Serialize and Deserialize Binary Tree,Serialize and Deserialize BST,Encode N-ary Tree to Binary Tree"
N-ary Tree Level Order Traversal,n-ary-tree-level-order-traversal,764,"Given an n-ary tree, return the level order traversal of its nodes' values. Nary-Tree input serialization is represented in their level order traversal, each group of children is separated by the null value (See examples). ","Tree,Breadth-First Search","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIy",Medium,71.3,478997,341309,,3694,141,,"102,775,776,2151","Binary Tree Level Order Traversal,N-ary Tree Preorder Traversal,N-ary Tree Postorder Traversal,The Time When the Network Becomes Idle"
Flatten a Multilevel Doubly Linked List,flatten-a-multilevel-doubly-linked-list,766,"You are given a doubly linked list, which contains nodes that have a next pointer, a previous pointer, and an additional child pointer. This child pointer may or may not point to a separate doubly linked list, also containing these special nodes. These child lists may have one or more children of their own, and so on, to produce a multilevel data structure as shown in the example below. Given the head of the first level of the list, flatten the list so that all the nodes appear in a single-level, doubly linked list. Let curr be a node with a child list. The nodes in the child list should appear after curr and before curr.next in the flattened list. Return the head of the flattened list. The nodes in the list must have all of their child pointers set to null. ","Linked List,Depth-First Search,Doubly-Linked List","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU4",Medium,61.4,618217,379291,,5242,340,,"114,1796","Flatten Binary Tree to Linked List,Correct a Binary Tree"
Encode N-ary Tree to Binary Tree,encode-n-ary-tree-to-binary-tree,771,,"Tree,Depth-First Search,Breadth-First Search,Design,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDU3",Hard,80.1,29683,23789,,531,30,,765,Serialize and Deserialize N-ary Tree
All O`one Data Structure,all-oone-data-structure,432,Design a data structure to store the strings' count with the ability to return the strings with minimum and maximum counts. Implement the AllOne class: Note that each function must run in O(1) average time complexity. ,"Hash Table,Linked List,Design,Doubly-Linked List","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDU4",Hard,44.1,409101,180556,,2134,216,,,
Minimum Genetic Mutation,minimum-genetic-mutation,433,"A gene string can be represented by an 8-character long string, with choices from 'A', 'C', 'G', and 'T'. Suppose we need to investigate a mutation from a gene string startGene to a gene string endGene where one mutation is defined as one single character changed in the gene string. There is also a gene bank bank that records all the valid gene mutations. A gene must be in bank to make it a valid gene string. Given the two gene strings startGene and endGene and the gene bank bank, return the minimum number of mutations needed to mutate from startGene to endGene. If there is no such a mutation, return -1. Note that the starting point is assumed to be valid, so it might not be included in the bank. ","Hash Table,String,Breadth-First Search","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIy",Medium,55.5,421538,233994,,3156,342,,127,Word Ladder
Number of Segments in a String,number-of-segments-in-a-string,434,"Given a string s, return the number of segments in the string. A segment is defined to be a contiguous sequence of non-space characters. ",String,VG9waWNUYWdOb2RlOjEw,Easy,36.4,633313,230607,,844,1306,,,
Non-overlapping Intervals,non-overlapping-intervals,435,"Given an array of intervals intervals where intervals[i] = [starti, endi], return the minimum number of intervals you need to remove to make the rest of the intervals non-overlapping. Note that intervals which only touch at a point are non-overlapping. For example, [1, 2] and [2, 3] are non-overlapping. ","Array,Dynamic Programming,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,55.6,1446284,803615,,8692,238,,"452,2536","Minimum Number of Arrows to Burst Balloons,Determine if Two Events Have Conflict"
Find Right Interval,find-right-interval,436,"You are given an array of intervals, where intervals[i] = [starti, endi] and each starti is unique. The right interval for an interval i is an interval j such that startj >= endi and startj is minimized. Note that i may equal j. Return an array of right interval indices for each interval i. If no right interval exists for interval i, then put -1 at index i. ","Array,Binary Search,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,54.0,257000,138669,,2277,382,,352,Data Stream as Disjoint Intervals
Path Sum III,path-sum-iii,437,"Given the root of a binary tree and an integer targetSum, return the number of paths where the sum of the values along the path equals targetSum. The path does not need to start or end at the root or a leaf, but it must go downwards (i.e., traveling only from parent nodes to child nodes). ","Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,46.1,1523539,702223,,11542,554,,"112,113,666,687","Path Sum,Path Sum II,Path Sum IV,Longest Univalue Path"
Find All Anagrams in a String,find-all-anagrams-in-a-string,438,"Given two strings s and p, return an array of all the start indices of p's anagrams in s. You may return the answer in any order. ","Hash Table,String,Sliding Window","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjU1ODIx",Medium,52.2,1972749,1030476,,12764,356,,"242,567","Valid Anagram,Permutation in String"
Ternary Expression Parser,ternary-expression-parser,439,,"String,Stack,Recursion","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjMx",Medium,62.0,59153,36675,,507,74,,"385,722,736","Mini Parser,Remove Comments,Parse Lisp Expression"
K-th Smallest in Lexicographical Order,k-th-smallest-in-lexicographical-order,440,"Given two integers n and k, return the kth lexicographically smallest integer in the range [1, n]. ",Trie,VG9waWNUYWdOb2RlOjI3,Hard,45.9,350352,160783,,1614,145,,2457,Count Special Integers
Arranging Coins,arranging-coins,441,"You have n coins and you want to build a staircase with these coins. The staircase consists of k rows where the ith row has exactly i coins. The last row of the staircase may be incomplete. Given the integer n, return the number of complete rows of the staircase you will build. ","Math,Binary Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEx",Easy,47.3,1134887,537361,,4124,1355,,,
Find All Duplicates in an Array,find-all-duplicates-in-an-array,442,"Given an integer array nums of length n where all the integers of nums are in the range [1, n] and each integer appears at most twice, return an array of all the integers that appears twice. You must write an algorithm that runs in O(n) time and uses only constant auxiliary space, excluding the space needed to store the output ","Array,Hash Table","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=",Medium,76.4,1200234,917173,,10799,424,,"448,2721,3581","Find All Numbers Disappeared in an Array,Sum of Distances,The Two Sneaky Numbers of Digitville"
String Compression,string-compression,443,"Given an array of characters chars, compress it using the following algorithm: Begin with an empty string s. For each group of consecutive repeating characters in chars: The compressed string s should not be returned separately, but instead, be stored in the input character array chars. Note that group lengths that are 10 or longer will be split into multiple characters in chars. After you are done modifying the input array, return the new length of the array. You must write an algorithm that uses only constant extra space. ","Two Pointers,String","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw",Medium,58.1,1504873,874998,,5688,8560,How do you know if you are at the end of a consecutive group of characters?,"38,271,604,1241,3451,3474","Count and Say,Encode and Decode Strings,Design Compressed String Iterator,Decompress Run-Length Encoded List,String Compression III,Better Compression of String"
Sequence Reconstruction,sequence-reconstruction,444,,"Array,Graph,Topological Sort","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjI0,VG9waWNUYWdOb2RlOjI2",Medium,29.5,204909,60476,,595,1536,,210,Course Schedule II
Add Two Numbers II,add-two-numbers-ii,445,"You are given two non-empty linked lists representing two non-negative integers. The most significant digit comes first and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself. ","Linked List,Math,Stack","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE1",Medium,61.8,857430,529694,,6043,297,,"2,1774","Add Two Numbers,Add Two Polynomials Represented as Linked Lists"
Arithmetic Slices II - Subsequence,arithmetic-slices-ii-subsequence,446,"Given an integer array nums, return the number of all the arithmetic subsequences of nums. A sequence of numbers is called arithmetic if it consists of at least three elements and if the difference between any two consecutive elements is the same. A subsequence of an array is a sequence that can be formed by removing some elements (possibly none) of the array. The test cases are generated so that the answer fits in 32-bit integer. ","Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",Hard,54.5,291616,159063,,3430,161,,"413,2548,2577","Arithmetic Slices,Destroy Sequential Targets,Count Palindromic Subsequences"
Number of Boomerangs,number-of-boomerangs,447,"You are given n points in the plane that are all distinct, where points[i] = [xi, yi]. A boomerang is a tuple of points (i, j, k) such that the distance between i and j equals the distance between i and k (the order of the tuple matters). Return the number of boomerangs. ","Array,Hash Table,Math","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=",Medium,56.4,194312,109645,,869,1032,,356,Line Reflection
Find All Numbers Disappeared in an Array,find-all-numbers-disappeared-in-an-array,448,"Given an array nums of n integers where nums[i] is in the range [1, n], return an array of all the integers in the range [1, n] that do not appear in nums. ","Array,Hash Table","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=",Easy,62.5,1770179,1105582,,9829,522,"This is a really easy problem if you decide to use additional memory. For those trying to write an initial solution using additional memory, think counters! However, the trick really is to not use any additional space than what is already available to use. Sometimes, multiple passes over the input array help find the solution. However, there's an interesting piece of information in this problem that makes it easy to re-use the input array itself for the solution. The problem specifies that the numbers in the array will be in the range [1, n] where n is the number of elements in the array. Can we use this information and modify the array in-place somehow to find what we need?","41,442,2107,2305,2388,2640,2702","First Missing Positive,Find All Duplicates in an Array,Find Unique Binary String,Append K Integers With Minimal Sum,Replace Elements in an Array,Maximum Number of Integers to Choose From a Range I,Maximum Number of Integers to Choose From a Range II"
Serialize and Deserialize BST,serialize-and-deserialize-bst,449,"Serialization is converting a data structure or object into a sequence of bits so that it can be stored in a file or memory buffer, or transmitted across a network connection link to be reconstructed later in the same or another computer environment. Design an algorithm to serialize and deserialize a binary search tree. There is no restriction on how your serialization/deserialization algorithm should work. You need to ensure that a binary search tree can be serialized to a string, and this string can be deserialized to the original tree structure. The encoded string should be as compact as possible. ","String,Tree,Depth-First Search,Breadth-First Search,Design,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3",Medium,58.6,437693,256588,,3545,176,,"297,652,765","Serialize and Deserialize Binary Tree,Find Duplicate Subtrees,Serialize and Deserialize N-ary Tree"
Delete Node in a BST,delete-node-in-a-bst,450,"Given a root node reference of a BST and a key, delete the node with the given key in the BST. Return the root node reference (possibly updated) of the BST. Basically, the deletion can be divided into two stages: ","Tree,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3",Medium,53.0,1337826,709599,,9820,348,,791,Split BST
Sort Characters By Frequency,sort-characters-by-frequency,451,"Given a string s, sort it in decreasing order based on the frequency of the characters. The frequency of a character is the number of times it appears in the string. Return the sorted string. If there are multiple answers, return any of them. ","Hash Table,String,Sorting,Heap (Priority Queue),Bucket Sort,Counting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDYw,VG9waWNUYWdOb2RlOjYxMDYy",Medium,74.1,1250419,926899,,8762,316,,"347,387,1741,2365,2421,2455,2486,2594","Top K Frequent Elements,First Unique Character in a String,Sort Array by Increasing Frequency,Percentage of Letter in String,Maximum Number of Pairs in Array,Node With Highest Edge Score,Most Frequent Even Element,Count Pairs Of Similar Strings"
Minimum Number of Arrows to Burst Balloons,minimum-number-of-arrows-to-burst-balloons,452,"There are some spherical balloons taped onto a flat wall that represents the XY-plane. The balloons are represented as a 2D integer array points where points[i] = [xstart, xend] denotes a balloon whose horizontal diameter stretches between xstart and xend. You do not know the exact y-coordinates of the balloons. Arrows can be shot up directly vertically (in the positive y-direction) from different points along the x-axis. A balloon with xstart and xend is burst by an arrow shot at x if xstart <= x <= xend. There is no limit to the number of arrows that can be shot. A shot arrow keeps traveling up infinitely, bursting any balloons in its path. Given the array points, return the minimum number of arrows that must be shot to burst all balloons. ","Array,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,60.4,1117901,675478,,7815,259,,"253,435","Meeting Rooms II,Non-overlapping Intervals"
